formulation_id,raw_electrolyte_text,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,n_conditions,ce_mean_min,ce_mean_max,current_density_min_ma_cm2,current_density_max_ma_cm2,areal_capacity_min_mah_cm2,areal_capacity_max_mah_cm2,notes,references
1_2_m_lifsi_dee,1.2 M LiFSI DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.0,99.0,0.5,0.5,1.0,1.0,unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
2_2m_lifsi_tep_1_2_mr,2.2M LiFSI TEP (= 1:2 MR),Li|Cu,LiFSI,,,2.2,,,FSI,TEP,1.0,EP,,,,,,,,1,99.0,99.0,0.2,0.2,1.0,1.0,unknown_tokens:MR;unsupported_species:TEP,"Zeng, Z. et al. Non-flammable electrolytes with high salt-to-solvent ratios for Li-ion and Li-metal batteries. Nat. Energy 3, 674–681 (2018)."
4m_lifsi_dme,4M LiFSI DME,Li|Cu,LiFSI,,,4.0,,,FSI,DME,1.0,,,,,,,,,1,99.1,99.1,0.2,0.2,1.0,1.0,,"Qian, J. et al. High rate and stable cycling of lithium metal anode. Nat. Commun. 6, (2015)."
5_m_lifsi_ec_etfec_3_7_vol,5 M LiFSI/EC-ETFEC (3:7 vol),Li|Cu,LiFSI,,,5.0,,,FSI,EC,0.3,TFEC,0.7,FEC,,,,,,1,99.1,99.1,0.25,0.25,0.5,0.5,unknown_tokens:ETFEC;unsupported_species:TFEC,"Chen, S. et al. High-Efficiency Lithium Metal Anode Enabled by a Concentrated/Fluorinated Ester Electrolyte. ACS Appl. Mater. Interfaces 12, 27794–27802 (2020)."
lifsi_1_4tep_3tte,LiFSI-1.4TEP-3TTE,Li|Cu,LiFSI,,,,,,FSI,TEP,,EP,,TTE,,,,,,1,99.1,99.1,0.5,0.5,1.0,1.0,unsupported_species:TEP|TTE,"Ren, X. et al. Role of inner solvation sheath within salt–solvent complexes in tailoring electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 117, 28603–28613 (2020)."
2_54m_lifsi_dme_btfe_1_4_w_w,2.54M LiFSI DME-BTFE (1:4 w/w),Li|Cu,LiFSI,,,2.54,,,FSI,DME,0.2879409351927809,BTFE,0.712059064807219,,,,,,,1,99.11,99.11,0.5,0.5,1.0,1.0,unsupported_species:BTFE,"Liu, H. et al. Ultrahigh coulombic efficiency electrolyte enables Li||SPAN batteries with superior cycling performance. Mater. Today 42, 17–28 (2021)."
1m_lifsi_dmc_btfe_1_2_by_mol,1M LiFSI DMC-BTFE (1:2 by mol),Li|Cu,LiFSI,,,1.0,,,FSI,DMC,0.2450466662039999,BTFE,0.7549533337960002,,,,,,,1,99.12,99.12,0.5,0.5,1.0,1.0,unknown_tokens:BY|MOL;unsupported_species:BTFE,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
10_m_lifsi_dmc,10 M LiFSI DMC,Li|Cu,LiFSI,,,10.0,,,FSI,DMC,1.0,,,,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
1_2m_lifsi_tep_btfe_1_3_mol,1.2M LiFSI TEP-BTFE (1:3 mol),Li|Cu,LiFSI,,,1.2,,,FSI,TEP,0.3039902023183154,EP,0.6960097976816846,BTFE,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:BTFE|TEP,"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
5_5m_lifsi_dmc,5.5M LiFSI DMC,Li|Cu,LiFSI,,,5.5,,,FSI,DMC,1.0,,,,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,,"Chen, S. et al. High-Voltage Lithium-Metal Batteries Enabled by Localized High-Concentration Electrolytes. Adv. Mater. 30, 1–7 (2018)."
lifsi_tep_1_1_molar,LiFSI-TEP 1:1 molar,Li|Cu,LiFSI,,,,,,FSI,TEP,,EP,,,,,,,,1,99.2,99.2,0.2,0.2,1.0,1.0,unknown_tokens:MOLAR;unsupported_species:TEP,"Xiao, L. et al. Stable Li Metal Anode with “Ion–Solvent-Coordinated” Nonflammable Electrolyte for Safe Li Metal Batteries. ACS Energy Lett. 4, 483–488 (2019)."
4_5_m_lifsi_dme_1_1,4.5 M LiFSI/DME (1 : 1),Li|Cu,LiFSI,,,4.5,,,FSI,DME,1.0,,,,,,,,,1,99.22,99.22,0.5,0.5,1.0,1.0,,"Huang, F. et al. Enhancing metallic lithium battery performance by tuning the electrolyte solution structure. J. Mater. Chem. A 6, 1612–1620 (2018)."
10_m_lifsi_ec_dmc,10 M LiFSI EC-DMC,Li|Cu,LiFSI,,,10.0,,,FSI,EC,0.5,DMC,0.5,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
1_2_m_lifsi_f3dee,1.2 M LiFSI F3DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unknown_tokens:F3DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_2_m_lifsi_f6dee,1.2 M LiFSI F6DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unknown_tokens:F6DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_33_m_lifsi_dme_tte_1_2_vol,1.33 M LiFSI DME-TTE (1:2 vol),Li|Cu,LiFSI,,,1.33,,,FSI,DME,0.333,TTE,0.667,,,,,,,1,99.3,99.3,0.2,0.2,0.5,0.5,unsupported_species:TTE,"Park, K., Jo, Y., Koo, B., Lee, H. & Lee, H. Wide temperature cycling of Li-metal batteries with hydrofluoroether dilution of high-concentration electrolyte. Chem. Eng. J. 427, 131889 (2022)."
lifsi_2_2dmc_3tte,LiFSI-2.2DMC-3TTE,Li|Cu,LiFSI,,,,,,FSI,DMC,,TTE,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unsupported_species:TTE,"Ren, X. et al. Enabling High-Voltage Lithium-Metal Batteries under Practical Conditions. Joule 3, 1662–1676 (2019)."
lifsi_dme_fb_1_1_2_3_molar,LiFSI-DME-FB (1:1.2:3 molar),Li|Cu,LiFSI,,,,,,FSI,DME,,,,,,,,,,1,99.3,99.3,1.0,1.0,1.0,1.0,unknown_tokens:FB|MOLAR,"Jiang, Z. et al. Fluorobenzene, A Low-Density, Economical, and Bifunctional Hydrocarbon Cosolvent for Practical Lithium Metal Batteries. Adv. Funct. Mater. 31, 2005991 (2021)."
lifsi_dme_tte_1_1_2_3,LiFSI DME-TTE (1:1.2:3),Li|Cu,LiFSI,,,,,,FSI,DME,,TTE,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unsupported_species:TTE,"Ren, X. et al. Enabling High-Voltage Lithium-Metal Batteries under Practical Conditions. Joule 3, 1662–1676 (2019)."
lifsi_tep_1_1_5_molar,LiFSI-TEP 1:1.5 molar,Li|Cu,LiFSI,,,,,,FSI,TEP,,EP,,,,,,,,1,99.3,99.3,0.2,0.2,1.0,1.0,unknown_tokens:MOLAR;unsupported_species:TEP,"Xiao, L. et al. Stable Li Metal Anode with “Ion–Solvent-Coordinated” Nonflammable Electrolyte for Safe Li Metal Batteries. ACS Energy Lett. 4, 483–488 (2019)."
4_m_lifsi_dee,4 M LiFSI DEE,Li|Cu,LiFSI,,,4.0,,,FSI,DEE,1.0,,,,,,,,,1,99.38,99.38,0.5,0.5,1.0,1.0,unsupported_species:DEE,"Chen, Y. et al. Steric Effect Tuned Ion Solvation Enabling Stable Cycling of High-Voltage Lithium Metal Battery. J. Am. Chem. Soc. (2021) doi:10.1021/jacs.1c09006."
1_28m_lifsi_fec_femc_d2,1.28M LiFSI FEC-FEMC-D2 ,Li|Cu,LiFSI,,,1.28,,,FSI,FEC,0.1,EC,0.2,FEMC,0.7,EMC,,D2,,1,99.4,99.4,,,2.0,2.0,unsupported_species:D2,"Fan, X. et al. All-temperature batteries enabled by fluorinated electrolytes with non-polar solvents. Nat. Energy 4, 882–890 (2019)."
1_m_lifsi_dme_fdmh_1_6_molar,1 M LiFSI DME-FDMH (1:6 molar),Li|Cu,LiFSI,,,1.0,,,FSI,DME,0.0853015064815868,,0.9146984935184131,,,,,,,1,99.4,99.4,0.5,0.5,1.0,1.0,unknown_tokens:FDMH|MOLAR,"Wang, H. et al. Dual-Solvent Li-Ion Solvation Enables High-Performance Li-Metal Batteries. Adv. Mater. 33, 2008619 (2021)."
lifsi_1_2dme_3btfe,LiFSI-1.2DME-3BTFE,Li|Cu,LiFSI,,,,,,FSI,DME,,BTFE,,,,,,,,1,99.4,99.4,0.5,0.5,1.0,1.0,unsupported_species:BTFE,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021)."
1_8_m_lifsi_dme_1_1_with_hfme_at_50_concentration,1.8 M LiFSI/DME (1 : 1) with HFME at 50% concentration,Li|Cu,LiFSI,,,1.8,,,FSI,DME,0.5,FM,0.5,,,,,,,1,99.46,99.46,0.5,0.5,1.0,1.0,unknown_tokens:AT|CONCENTRATION|HFME|WITH;unsupported_species:FM,"Huang, F. et al. Enhancing metallic lithium battery performance by tuning the electrolyte solution structure. J. Mater. Chem. A 6, 1612–1620 (2018)."
1_2_m_lifsi_f4dee,1.2 M LiFSI F4DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unknown_tokens:F4DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_2_m_lifsi_f5dee,1.2 M LiFSI F5DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unknown_tokens:F5DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_7_m_lifsi_methf_tte_1_1_vol,1.7 M LiFSI MeTHF-TTE (1:1 vol),Li|Cu,LiFSI,,,1.7,,,FSI,TTE,0.5,,0.5,,,,,,,1,99.5,99.5,1.0,1.0,1.0,1.0,unknown_tokens:METHF;unsupported_species:TTE,"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
1_8m_lifsi_dee_btfe_1_4_w_w,1.8M LiFSI DEE-BTFE (1:4 w/w),Li|Cu,LiFSI,,,1.8,,,FSI,DEE,0.3297632468996617,BTFE,0.6702367531003381,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unsupported_species:BTFE|DEE,"Liu, H. et al. Ultrahigh coulombic efficiency electrolyte enables Li||SPAN batteries with superior cycling performance. Mater. Today 42, 17–28 (2021)."
1m_lifsi_dme_tfeo_1_2_3_mol,1M LiFSI DME-TFEO (1.2:3 mol),Li|Cu,LiFSI,,,1.0,,,FSI,DME,0.1634492544449742,TFEO,0.8365507455550258,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:TFEO,"Cao, X. et al. Monolithic solid–electrolyte interphases formed in fluorinated orthoformate-based electrolytes minimize Li depletion and pulverization. Nat. Energy 4, 796–805 (2019)."
lifsi_1_2dme_3tfeo,LiFSI-1.2DME-3TFEO,Li|Cu,LiFSI,,,,,,FSI,DME,,TFEO,,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unsupported_species:TFEO,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021)."
lifsi_1dme_3tte,LiFSI-1DME-3TTE,Li|Cu,LiFSI,,,,,,FSI,DME,,TTE,,,,,,,,1,99.5,99.5,0.5,0.5,1.0,1.0,unsupported_species:TTE,"Ren, X. et al. Role of inner solvation sheath within salt–solvent complexes in tailoring electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 117, 28603–28613 (2020)."
1_m_lipf6_ec_dmc_1_1_v_2_vc,1 M LiPF6 EC-DMC (1:1 v) 2% VC,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DMC,0.5,VC,0.02,,,,,1,80.0,80.0,0.6,0.6,0.44,0.44,unsupported_species:VC,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
1_m_lipf6_ec_emc_3_7_wt_2_wt_vc,1 M LiPF6 EC-EMC (3:7 wt) 2% wt VC,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.2462065589818893,EMC,0.7537934410181106,VC,0.02,,,,,1,82.0,82.0,0.5,0.5,1.0,1.0,unsupported_species:VC,"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
1m_lipf6_ec_dmc_3_7_v_v,1M LiPF6 EC-DMC (3:7 v/v),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.3,DMC,0.7,,,,,,,1,83.3,83.3,0.4,0.4,0.8,0.8,,"Zheng, H. et al. Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries. Adv. Energy Mater. 10, 2001440 (2020)."
1m_lipf6_ec_dec_1_2_w_w,1M LiPF6 EC-DEC (1:2 w/w),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.2667578659370725,DEC,0.7332421340629275,,,,,,,1,83.7,83.7,1.0,1.0,1.0,1.0,,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018)."
1_m_lipf6_ec_dmc_1_2_vol,1 M LiPF6 EC-DMC (1:2 vol),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.333,DMC,0.667,,,,,,,1,86.0,86.0,0.5,0.5,0.5,0.5,,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018)."
1_m_lipf6_ec_dec_3_7_wt,1 M LiPF6 EC-DEC (3:7 wt),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.2404438964241677,DEC,0.7595561035758323,,,,,,,1,87.0,87.0,0.1,0.1,0.1,0.1,,"Schedlbauer, T. et al. Lithium difluoro(oxalato)borate: A promising salt for lithium metal based secondary batteries? Electrochim. Acta 92, 102–107 (2013)."
1_m_lipf6_ec_dec_1_1_vol,1 M LiPF6-EC/DEC (1:1 vol.),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,,,,,,,1,88.0,88.0,0.5,0.5,0.5,0.5,,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
1m_lipf6_ec_dec_1_1_w_w,1M LiPF6 EC-DEC (1:1 w/w),Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.4248366013071895,DEC,0.5751633986928105,,,,,,,1,90.3,90.3,1.0,1.0,1.0,1.0,,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018)."
1_m_lipf6_ec_dmc_1_2_vol_2_ttfeb,1 M LiPF6 EC-DMC (1:2 vol) 2% TTFEB,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.333,DMC,0.667,,0.02,,,,,1,91.0,91.0,0.5,0.5,0.5,0.5,unknown_tokens:TTFEB,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018)."
1_m_lipf6_fec_dmc_1_1_v,1 M LiPF6 FEC-DMC (1:1 v),Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,,,,,,1,91.78,91.78,1.0,1.0,1.0,1.0,,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
1_m_lipf6_fec_ec_dec_2_9_9_vol,1 M LiPF6 FEC-EC-DEC (2:9:9 vol),Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.1,EC,0.45,DEC,0.45,,,,,1,92.2,92.2,0.5,0.5,1.0,1.0,,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021)."
1_m_lipf6_fec_dmc_1_1_v_0_25wt_12_crown_4,1 M LiPF6 FEC-DMC (1:1 v) 0.25wt% 12-Crown-4,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,0.0025,,,,,1,94.05,94.05,1.0,1.0,1.0,1.0,unknown_tokens:CROWN,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
1_m_lipf6_fec_ec_dec_2_9_9_vol_0_05_m_rbno3_0_05m_18_crown_6,1 M LiPF6 FEC-EC-DEC (2:9:9 vol) 0.05 M RbNO3 0.05M 18-crown-6,Li|Cu,LiPF6,,,1.0,0.05,,PF6,FEC,0.1,EC,0.45,DEC,0.45,,,,,1,94.4,94.4,0.5,0.5,1.0,1.0,unknown_tokens:CROWN|RBNO3,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021)."
1_m_lipf6_fec_dmc_1_1_v_2wt_12_crown_4,1 M LiPF6 FEC-DMC (1:1 v) 2wt% 12-Crown-4,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,0.02,,,,,1,94.7,94.7,1.0,1.0,1.0,1.0,unknown_tokens:CROWN,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
1_m_lipf6_ec_dec_1_1_vol_5_vol_fec,1 M LiPF6-EC/DEC (1:1 vol.) + 5 vol% FEC,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,FEC,0.05,,,,,1,95.0,95.0,0.5,0.5,0.5,0.5,,"Zhang, X.-Q., Cheng, X.-B., Chen, X., Yan, C. & Zhang, Q. Fluoroethylene Carbonate Additives to Render Uniform Li Deposits in Lithium Metal Batteries. Adv. Funct. Mater. 27, 1605989 (2017)."
1_m_lipf6_fec_emc_dmc_34_6_57_2_8_2_wt,1 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) ,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.278628829745826,EC,0.6259312142878466,EMC,0.0954399559663273,DMC,,,,1,95.0,95.0,1.0,1.0,1.0,1.0,,"Huang, K. et al. Regulation of SEI Formation by Anion Receptors to Achieve Ultra-Stable Lithium-Metal Batteries. Angew. Chemie Int. Ed. 60, 19232–19240 (2021)."
1_m_lipf6_in_ec_dec_0_15m_lidfp,1 M LiPF6 in EC/DEC + 0.15M LiDFP,Li|Cu,LiPF6,,,1.0,0.15,,PF6,EC,0.4248366013071895,DEC,0.5751633986928105,,,,,,,1,95.2,95.2,0.5,0.5,1.0,1.0,unknown_tokens:IN|LIDFP,"Shi, P. et al. Lithium Difluorophosphate as a Dendrite-Suppressing Additive for Lithium Metal Batteries. ACS Appl. Mater. Interfaces 10, 22201–22209 (2018)."
1_m_lipf6_fec_dmc_1_1_v_1_75wt_12_crown_4,1 M LiPF6 FEC-DMC (1:1 v) 1.75wt% 12-Crown-4,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,0.0175,,,,,1,95.35,95.35,1.0,1.0,1.0,1.0,unknown_tokens:CROWN,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
