molecule,count_c,count_h,count_o,count_f,count_n,count_s,count_p,other_elements,molecular_weight,density_g_ml,molarity_pure,smiles
DME (C4H10O2),4.0,10.0,2.0,,,,,,90.12,0.868,9.631602308033731,COCCOC
EC (C3H4O3),3.0,4.0,3.0,,,,,,88.062,1.32,14.989439258704097,C1COC(=O)O1
PC (C4H6O3),4.0,6.0,3.0,,,,,,102.088,1.2,11.754564689287674,CC1COC(=O)O1
DEC (C5H10O3),5.0,10.0,3.0,,,,,,118.13,0.975,8.25361889443833,O=C(OCC)OCC
DMC (C3H6O3),3.0,6.0,3.0,,,,,,90.078,1.07,11.878594107329203,COC(=O)OC
FEC (C3H3FO3),3.0,3.0,3.0,1.0,,,,,106.054,1.454,13.709996794086031,C1C(OC(=O)O1)F
FDMB (C6H10F4O2),6.0,10.0,2.0,4.0,,,,,190.14,1.21,6.36373198695698,COCC(F)(F)C(F)(F)COC
BTFE (CF3CH2)2O,4.0,4.0,1.0,6.0,,,,,182.072,1.404,7.711235115778372,C(C(F)(F)F)OCC(F)(F)F
FEMC  (C4H5F3O3),4.0,5.0,3.0,3.0,,,,,158.07999999999998,1.3,8.223684210526317,COC(=O)OCCF
D2 (C4H3F7O1),4.0,3.0,1.0,7.0,,,,,200.064,1.487,7.432621561100449,C(C(F)(F)F)OC(C(F)F)(F)F
TTE (C5H4F8O),5.0,4.0,1.0,8.0,,,,,232.082,1.5323,6.602407769667618,FC(F)C(F)(F)COC(F)(F)C(F)F
DOL (C3H6O2),3.0,6.0,2.0,,,,,,74.078,1.06,14.30924161019466,O1CCOC1
Diethyl ether (C4H10O1),4.0,10.0,1.0,,,,,,74.12,0.7134,9.62493254182407,CCOCC
FM (CH3F),1.0,3.0,0.0,1.0,,,,,34.034,0.557,16.365986954222247,FC
DMB (C6H14O2),6.0,14.0,2.0,0.0,,,,,118.172,0.856,7.243678705615543,COC(C)C(C)OC
TMS ((CH2)4SO2)),4.0,8.0,2.0,,,1.0,,,120.169,1.26,10.485233296440846,O=S1(=O)CCCC1
TFEO (C7H7F9O3),7.0,7.0,3.0,9.0,,,,,310.126,1.457,4.698090453557587,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F
TFEC (C5H4F6O3),5.0,4.0,3.0,6.0,,,,,226.082,1.51,6.678992577914209,C(C(F)(F)F)OC(=O)OCC(F)(F)F
TEP (C6H15O4P),6.0,15.0,4.0,,,,1.0,,182.15300000000002,1.072,5.885162473305408,CCOP(=O)(OCC)OCC
EMC (C4H8O3),4.0,8.0,3.0,,,,,,104.104,1.006,9.663413509567356,CCOC(=O)OC
VC (C3H2O3),3.0,2.0,3.0,,,,,,86.04599999999999,1.35,15.689282476814729,C1=COC(=O)O1
GBL (C4H6O2),4.0,6.0,2.0,,,,,,86.088,1.1296,13.121457113651147,O=C1OCCC1
HFME (C4H4F6O),4.0,4.0,1.0,6.0,,,,,182.072,1.38,7.579419130893273,COC(C(F)(F)F)C(F)(F)F
DMSO (C2H6OS),2.0,6.0,1.0,,,1.0,,,78.133,1.1,14.078558355624386,CS(=O)C
SL (C4H8O2S),4.0,8.0,2.0,,,1.0,,,120.169,1.261,10.493554910168179,O=S1(=O)CCCC1
AN (CH3CN),2.0,3.0,,,1.0,,,,41.054,0.786,19.145515662298436,CC#N
THF (C4H8O),4.0,8.0,1.0,,,,,,72.104,0.888,12.315544213913237,C1CCOC1
MTHF (C5H10O),5.0,10.0,1.0,,,,,,86.13,0.854,9.91524439800302,O1C(C)CCC1
EA (C4H8O2),4.0,8.0,2.0,,,,,,88.104,0.902,10.237900662852992,O=C(OCC)C
DCM (CCl2H2),1.0,2.0,,,,,,2,84.932,1.33,15.65958649272359,ClCCl
ETFEC (C5H7F3O3),5.0,7.0,3.0,3.0,,,,,172.106,1.253,7.280396964661313,O=C(OCC)OCC(F)(F)F
FDMA (C4H6F3NO),4.0,6.0,1.0,3.0,1.0,,,,141.09799999999998,1.26,8.929963571418448,CN(C)C(=O)C(F)(F)F
Tetraglyme,10.0,22.0,5.0,,,,,,222.276,1.009,4.539401464845507,COCCOCCOCCOCCOC
DEG-FTriEG,16.0,26.0,8.0,8.0,,,,,498.368,1.21,2.4279247463721587,COCCOCCOCC(F)(F)OC(F)(F)OC(F)(F)COCCOCCOC
MTFP (C4H5F3O2),4.0,5.0,2.0,3.0,,,,,142.07999999999998,1.241,8.734515765765767,COC(=O)CC(F)(F)F
FB (C6H5F),6.0,5.0,,1.0,,,,,96.10000000000001,1.02,10.613943808532778,FC1CCCCC1
TMSB (C9H27O3Si3),9.0,27.0,3.0,,,,,3,267.546,0.831,3.1060079388217354,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)
12-crown-4,8.0,16.0,4.0,,,,,,176.208,1.09,6.185871243076365,O1CCOCCOCCOCC1
18-crown-6,12.0,24.0,6.0,,,,,,264.312,1.24,4.691425285268925,O1CCOCCOCCOCCOCCOCC1
EGD (C6H10O4),6.0,10.0,4.0,,,,,,146.14,1.104,7.554399890515945,CC(=O)OCCOC(C)=O
TTFEB,6.0,6.0,3.0,9.0,,,,1,307.919,1.43,4.6440784751834085,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F
ES (C2H4S),2.0,4.0,,,,1.0,,,60.117,1.01,16.800572217509192,C1COS(=O)O1
DMeTHF (C6H12O),6.0,12.0,1.0,,,,,,100.156,0.833,8.317025440313111,CC1CCC(C)O1
FDMH,8.0,10.0,2.0,8.0,,,,,290.15999999999997,1.3,4.480286738351255,COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC
FSA,2.0,6.0,2.0,1.0,1.0,1.0,,,127.143,1.48,11.64043635906027,CN(C)S(=O)(=O)F
BTFEC (C5H4F6O3),5.0,4.0,3.0,6.0,,,,,226.082,1.51,6.678992577914209,C(C(F)(F)F)OC(=O)OCC(F)(F)F
TFEB (C6H6BF9O3),6.0,6.0,3.0,9.0,,,,1,307.919,1.43,4.6440784751834085,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F
"1,4-Dioxolane",5.0,10.0,2.0,,,,,,102.13,1.06,10.37892881621463,O1CCOCC1
Diethoxyethane (C6H14O2),6.0,14.0,2.0,,,,,,118.172,0.842,7.125207324916224,CCOC(C)OCC
F3DEE,6.0,11.0,2.0,3.0,,,,,172.148,1.07,6.215581941120432,FC(F)(F)COCCOCC
F4DEE,6.0,10.0,2.0,4.0,,,,,190.14,1.24,6.521510465972441,FC(F)COCCOCC(F)(F)
F5DEE,6.0,9.0,2.0,5.0,,,,,208.132,1.29,6.19798973728211,FC(F)COCCOCC(F)(F)(F)
F6DEE,6.0,8.0,2.0,6.0,,,,,226.124,1.4,6.1912932727176235,FC(F)(F)COCCOCC(F)(F)(F)
,,,,,,,,,,,,
Salt,,,,,,,,B/Cl/As/Si etc.,,,,
LiFSI,,,4.0,2.0,1.0,2.0,,,,,,
LiPF6,,,,6.0,,,1.0,,,,,
LiTFSI,2.0,,4.0,6.0,1.0,2.0,,,,,,
LiBOB,4.0,,8.0,,,,,1,,,,
LiDFP,,,2.0,2.0,,,1.0,,,,,
LiNO3,,,3.0,,1.0,,,,62.01,,,
LiDFOB,2.0,,4.0,2.0,,,,1,,,,
LiTFPFB,3.0,,1.0,12.0,,,,1,,,,
LiBF4,,,,4.0,,,,1,,,,
LiFNFSI,3.0,,4.0,10.0,1.0,2.0,,,,,,
LiPO2F2,,,2.0,2.0,,,1.0,,,,,
LiAsF6,,,,6.0,,,,1,,,,
LiClO4,,,4.0,,,,,1,,,,
Li2S5,,,,,,5.0,,,,,,
TMS-FNFSI ((CH3)3Si-N[(FSO2)(C4F9SO2)]),7.0,9.0,4.0,10.0,,2.0,,1,439.35699999999997,,,
RbNO3,,,3.0,,1.0,,,1,,,,
LiBETI,4.0,,4.0,10.0,1.0,2.0,,,,,,
